name	full_name	id	description	language	size	watchers	forks	stargazers_count
Squire	neilj/Squire	2669200	HTML5 rich text editor. Try the demo integration at	JavaScript	3282	3462	233	3462
scribe	guardian/scribe	14298729	A rich text editor framework for the web platform	JavaScript	6521	3441	244	3441
textAngular	fraywing/textAngular	13429048	A radically powerful Text-Editor/Wysiwyg editor for Angular.js! Create multiple editor instances, two-way-bind HTML content, watch editors for changes and more!	JavaScript	4406	3430	886	3430
slap	slap-editor/slap	18981255	Sublime-like terminal-based text editor	JavaScript	1645	3141	120	3141
wysihtml	Voog/wysihtml	12459565	Open source rich text editor for the modern web	JavaScript	13135	3052	278	3052
cleartext-mac	mortenjust/cleartext-mac	46653709	A text editor that only allows the top 1,000 most common words in English	Swift	2280	3021	121	3021
kilo	antirez/kilo	62994219	A text editor in less than 1000 LOC with syntax highlight and search.	C	20	2808	292	2808
hallo	bergie/hallo	1707621	Simple rich text editor (contentEditable) for jQuery UI	JavaScript	4229	2434	363	2434
slate	ianstormtaylor/slate	61412022	A completely customizable framework for building rich text editors.	JavaScript	24137	2424	90	2424
PlainTasks	aziz/PlainTasks	4038657	An opinionated todo-list plugin for Sublime Text editor (version 2 and 3)	Python	791	2420	226	2420
firepad	firebase/firepad	9037027	Collaborative Text Editor Powered by Firebase	JavaScript	6190	2277	484	2277
vis	martanne/vis	26677418	a vim like text editor	C	3994	2229	98	2229
macvim	macvim-dev/macvim	5641441	Vim - the text editor - for Mac OS X	C	84930	2141	306	2141
ZSSRichTextEditor	nnhubbard/ZSSRichTextEditor	16393248	A beautiful rich text WYSIWYG editor for iOS with a syntax highlighted source view	Objective-C	1086	1915	275	1915
jquery-notebook	raphaelcruzeiro/jquery-notebook	16031396	A modern, simple and elegant WYSIWYG rich text editor.	JavaScript	351	1679	210	1679
CotEditor	coteditor/CotEditor	9243402	Lightweight Plain-Text Editor for macOS	Swift	55902	1658	166	1658
scriptcs	scriptcs/scriptcs	8473240	Write C# apps with a text editor, nuget and the power of Roslyn!	C#	18316	1631	307	1631
Knife	mthli/Knife	47661740	Knife is a rich text editor component for writing documents in Android.	Java	1151	1225	140	1225
tmTheme-Editor	aziz/tmTheme-Editor	6466760	Color scheme editor for SublimeText, Textmate and a bunch of other text editors	HTML	6184	1182	257	1182
sublime-enhanced	shagabutdinov/sublime-enhanced	24747281	Set of plugins for beloved sublime text editor	HTML	66	1135	31	1135
gmate	gmate/gmate	586391	Set of plugins and improvements to make Gedit a powerfull programmer text editor	Python	2110	1048	153	1048
popline	kenshin54/popline	10449816	Popline is an HTML5 Rich-Text-Editor Toolbar	JavaScript	393	1034	151	1034
iota	gchp/iota	24936564	A terminal-based text editor written in Rust	Rust	1223	890	47	890
massren	laurent22/massren	16522792	massren - easily rename multiple files using your text editor	Go	1025	786	16	786
edhita	tnantoka/edhita	824672	Fully open source text editor for iOS written in Swift.	Swift	19374	748	204	748
wysiwyg-editor	froala/wysiwyg-editor	16466496	A beautifuly designed jQuery WYSIWYG Rich Text Editor based on HTML5.	HTML	56283	743	142	743
iOS-Rich-Text-Editor	aryaxt/iOS-Rich-Text-Editor	9880061	A Rich Text Editor for iOS	Objective-C	1820	725	134	725
ritzy	ritzyed/ritzy	37325153	Collaborative web-based rich text editor	JavaScript	1541	698	32	698
Caret	thomaswilburn/Caret	12290154	A sublime text editor for Chrome OS	JavaScript	7577	679	118	679
vico	vicoapp/vico	4947406	Mac Programmers Text Editor	Objective-C	37205	668	98	668
android-animate-RichEditor	xmuSistone/android-animate-RichEditor	44215821	android rich text editor which enables users to insert/delete bitmaps and text into edit-view with animations.	Java	2903	595	128	595
notepad2-mod	XhmikosR/notepad2-mod	5568579	LOOKING FOR DEVELOPERS - Notepad2-mod, a Notepad2 fork, a fast and light-weight Notepad-like text editor with syntax highlighting	C++	26009	557	124	557
e	etexteditor/e	165269	e text editor	C++	18226	499	83	499
Vim	applidium/Vim	3217324	Port of the Vim text editor to the iOS	C	99727	483	96	483
WordPress-Editor-iOS	wordpress-mobile/WordPress-Editor-iOS	19703913	A reusable iOS rich text editor component.	Objective-C	8491	480	103	480
suplemon	richrd/suplemon	28249896	:lemon: Console (CLI) text editor with multi cursor support. Suplemon replicates Sublime Text like functionality in the terminal. Try it out, give feedback, fork it!	Python	698	460	21	460
atom-keyboard-shortcuts	nwinkler/atom-keyboard-shortcuts	22341767	A list of keyboard shortcuts for the Atom text editor	null	24	454	92	454
icarus-android	mr5/icarus-android	56924966	The best rich text editor for android platform, which includes more completely features. 安卓富文本编辑器	JavaScript	1192	452	72	452
wakatime	wakatime/wakatime	11215061	Command line interface used by all WakaTime text editor plugins.	Python	3421	419	31	419
django-wysiwyg	pydanny-archive/django-wysiwyg	282399	 A Django application for making Django textareas rich text editors. Certainly as a template tag and possibly as a form widget.	HTML	165	415	47	415
sublimetext_indentxml	alek-sys/sublimetext_indentxml	2487802	Plugin for Sublime Text editor for reindenting XML and JSON files	Python	80	370	121	370
godit	nsf/godit	5102794	A very religious text editor	Go	523	369	53	369
raven	robotlolita/raven	14879660	Raven is a minimal, distraction-free text editor with good typography.	JavaScript	9229	369	15	369
bootstrap-wysiwyg	steveathon/bootstrap-wysiwyg	19204005	Tiny bootstrap-compatible WYSIWYG rich text editor	HTML	812	357	1499	357
FastColoredTextBox	PavelTorgashov/FastColoredTextBox	8203189	Fast Colored TextBox for Syntax Highlighting. The text editor component for .NET.	C#	12452	353	170	353
ymacs	mishoo/ymacs	1056999	Ymacs is an^W the most Emacs-like code/text editor for the Web	JavaScript	2293	328	53	328
AvalonEdit	icsharpcode/AvalonEdit	18650309	The WPF-based text editor component used in SharpDevelop	C#	4508	324	135	324
guiflow	hirokidaichi/guiflow	53048682	a text editor for ui flow 	JavaScript	134888	324	27	324
SourceKittenDaemon	terhechte/SourceKittenDaemon	46151567	Swift Auto Completions for any Text Editor	Swift	3651	321	18	321
lavalamp	jasonlong/lavalamp	17348444	A text editor theme that visually differentiates languages.	VimL	132	316	7	316
rim	mathall/rim	30017427	Aspiring vim-like text editor	Rust	411	313	16	313
Barliman	webyrd/Barliman	59238492	Prototype smart text editor	Scheme	15912	299	5	299
RSyntaxTextArea	bobbylight/RSyntaxTextArea	11966919	A syntax highlighting, code folding text editor for Java Swing applications.	Java	10228	299	109	299
vim-recipes	runpaint/vim-recipes	187180	A cookbook for the Vim text editor.	JavaScript	6734	265	23	265
DTRichTextEditor	Cocoanetics/DTRichTextEditor	37856139	A rich-text editor for iOS	Objective-C	4645	263	34	263
Fraise	jfmoy/Fraise	570754	Fraise is a lightweight but powerful text editor for Mac OS X.	Objective-C	5022	263	41	263
GhostText	GhostText/GhostText	17492418	👻 Use your text editor to write in your browser. Everything you type in the editor will be instantly updated in the browser (and vice versa).	TypeScript	1433	263	24	263
Aporia	nim-lang/Aporia	621775	IDE/Advanced text editor mainly focusing on support for the Nim programming language.	Nimrod	22576	258	38	258
wysiwyg-rails	froala/wysiwyg-rails	16522799	Ruby gem for Froala jQuery WYSIWYG HTML Rich Text Editor.	JavaScript	1918	256	45	256
Emacs-Elisp-Programming	caiorss/Emacs-Elisp-Programming	38110992	Tutorial about programming Elisp and Emacs text editor customization.	HTML	9039	256	29	256
text-app	GoogleChrome/text-app	6579550	A text editor for ChromeOS and Chrome	JavaScript	6120	245	96	245
MavensMate	joeferraro/MavensMate	8763586	MavensMate is a collection of open source projects that aims to make building Salesforce applications accessible to developers who prefer to build applications using their local machine in text editors like Sublime Text, Atom, and Visual Studio Code.	HTML	43273	229	72	229
ScintillaNET	jacobslusser/ScintillaNET	30391471	A Windows Forms control, wrapper, and bindings for the Scintilla text editor.	C#	40742	225	68	225
toy-chest-theme	JacksonGariety/toy-chest-theme	9743878	A color scheme for your text editor that makes coding fun.	JavaScript	10471	214	28	214
angular-froala	froala/angular-froala	23120633	Angular.js bindings for Froala WYSIWYG HTML Rich Text Editor.	JavaScript	130	212	71	212
toothpaste	imcatnoone/toothpaste	50728984	Toothpaste is a custom theme for your text editor with flavorful colors	VimL	4863	207	25	207
angular-trix	sachinchoolur/angular-trix	47696333	A rich WYSIWYG text editor directive for angularjs.	JavaScript	185	205	25	205
vim-lion	tommcdo/vim-lion	8821889	A simple alignment operator for Vim text editor	VimL	31	203	6	203
graphene	rdallasgray/graphene	5704726	A set of defaults for Emacs, for refugees from GUI text editors.	Emacs Lisp	1293	203	15	203
kix-standalone	benjamn/kix-standalone	801545	A standalone version of Google's new rich text editor, Kix	JavaScript	872	201	39	201
slim_text	tylerlong/slim_text	9841546	Slim Text Editor	CoffeeScript	17760	195	49	195
dredit	googledrive/dredit	8688208	[DEPRECATED] DrEdit, a Google Drive SDK sample text editor app.	JavaScript	41234	193	277	193
Specials-Board	jbergantine/Specials-Board	245721	A light-on dark .seestyle theme for the Panic Coda 1.x text editor.	null	2253	183	10	183
Android-RTEditor	1gravity/Android-RTEditor	36704211	The Android RTEditor is a rich text editor component for Android that can be used as a drop in for EditText	Java	5662	175	37	175
swiboe	swiboe/swiboe	40109271	The text editor for the next 25 years.	Rust	32590	174	14	174
wysihat-engine	80beans/wysihat-engine	320914	A Rails engine to help integrate the 37signals WysiHat rich text editor to your application.	JavaScript	1274	174	17	174
medium-draft	brijeshb42/medium-draft	56425325	A medium like Rich Text Editor built on draft-js with a focus on keyboard shortcuts.	JavaScript	163	172	18	172
active_admin_editor	ejholmes/active_admin_editor	4133393	Rich text editor for Active Admin using wysihtml5.	Ruby	1014	169	122	169
920-Text-Editor-old	jecelyin/920-Text-Editor-old	5536417	new project	Java	3547	168	85	168
atomic-emacs	avendael/atomic-emacs	17261578	An atomic implementation of emacs keybindings for the Atom text editor.	CoffeeScript	308	166	47	166
surface	substance/surface	4694047	A building block for web-based text editors	JavaScript	2252	166	16	166
vim-ide	xmementoit/vim-ide	11815767	Convert your VIM text editor into powerful IDE	VimL	85295	155	27	155
rails_tiny_mce	sandipransing/rails_tiny_mce	316258	A Tiny MCE Rich text Editor for rails using jquery, paperclip with image and media upload support	Ruby	1133	148	18	148
dex	tihirvon/dex	1086316	Dextrous text editor	C	4446	143	13	143
de	driusan/de	58956476	A Programmer's Text Editor	Go	257	139	5	139
atom-replacement-icon	edwardloveall/atom-replacement-icon	17319512	Replacement icon for the Atom text editor	Shell	1872	139	7	139
shim	swong15/shim	17840606	A vim inspired text editor	JavaScript	99301	136	11	136
codemirror-ui	jagthedrummer/codemirror-ui	1319511	A simple UI for the CodeMirror text editor.	JavaScript	2763	135	39	135
notex-v2.0	hsk81/notex-v2.0	5179138	A text editor for reStructuredText, Markdown, LaTex and more!	CSS	4421	133	19	133
freshereditor	mquan/freshereditor	1817818	fresherEditor is a jQuery rich text editor built using contentEditable attribute	JavaScript	193	132	35	132
PoorEdit	SpongeBobSun/PoorEdit	47194844	Android Rich Text Editor Widget	Java	985	131	30	131
RKRichTextView	ren6/RKRichTextView	10246463	Rich Text Editor for iOS	Objective-C	385	130	15	130
comparisons	iDoRecall/comparisons	36582958	Comparisons of various solutions considered while building iDoRecall: rich text editors, error logging services, cross-browser testing services etc.	null	8	124	12	124
vim-lua-ftplugin	xolox/vim-lua-ftplugin	1893742	Lua file type plug-in for the Vim text editor	VimL	782	123	22	123
MavensMate-Atom	joeferraro/MavensMate-Atom	18139487	MavensMate plugin for building Salesforce.com/Force.com/Salesforce1 applications inside GitHub's Atom text editor	CoffeeScript	28035	123	32	123
php-drupal.tmbundle	psynaptic/php-drupal.tmbundle	399603	Drupal bundle for TextMate text editor	PHP	991	120	30	120
qute-html5	fbreuer/qute-html5	1870025	Qute Text Editor - built with web technologies	JavaScript	37581	118	6	118
rst2pdf	rst2pdf/rst2pdf	32087385	Use a text editor.  Make a PDF.	Python	7758	116	37	116
droplet	droplet-editor/droplet	15754563	Block language reenvisioned as a text editor	JavaScript	31112	112	50	112
diakonos	Pistos/diakonos	18272	Diakonos is a Linux console text editor for the masses.	Ruby	3270	112	10	112
pydoc.vim	fs111/pydoc.vim	706122	pydoc integration for the best text editor on earth	VimL	42	107	26	107
XCoverage	dropbox/XCoverage	32405999	Xcode Plugin that displays coverage data in the text editor	Objective-C	989	107	8	107
megadraft	globocom/megadraft	54509932	 Megadraft is a Rich Text editor built on top of Facebook's draft.js featuring a nice default base of components and extensibility	JavaScript	17750	106	22	106
enki	hlamer/enki	946503	A text editor for programmers	Python	23804	101	20	101
kaa	kaaedit/kaa	10718189	kaa - console text editor	Python	1886	95	9	95
Typewriter	davidmerfield/Typewriter	15192621	A text editor for first drafts.	JavaScript	32901	95	4	95
textile-editor-helper	ryanfelton/textile-editor-helper	54402	a clone of the latest release of textile_editor_helper with improvments	Ruby	254	93	22	93
django-froala-editor	froala/django-froala-editor	21104814	Package to integrate Froala WYSIWYG HTML rich text editor with Django.	JavaScript	3008	90	19	90
PeepOpen	topfunky/PeepOpen	1206524	Desktop application for switching between files in text editors	Ruby	18618	87	14	87
react-text-editor	andrewcoelho/react-text-editor	53353853	React rich text editor built using Draft.js. Similar to Facebook Notes editor. http://andrewcoelho.com/react-text-editor/	JavaScript	123	86	17	86
CSS3.sugar	minimalweb/CSS3.sugar	955448	CSS3 Sugar for Espresso Text Editor	null	863	86	7	86
angular-meditor	ghinda/angular-meditor	14308647	Simple floating text editor for Angular, inspired by Medium.	JavaScript	6855	83	27	83
kattappa	brijeshb42/kattappa	40481542	A block based rich text editor.	JavaScript	1077	82	4	82
kilua	skx/kilua	63314903	A minimal text-editor with lua scripting.	C++	792	82	4	82
ruby.sugar	ELLIOTTCABLE/ruby.sugar	70820	‹ᴜɴᴍᴀɪɴᴛᴀɪɴᴇᴅ› A Ruby sugar for MacRabbit's Espresso text editor	Ruby	80	80	12	80
griffin.editor	jgauffin/griffin.editor	3514048	jQuery text editor supporting markdown	JavaScript	838	78	4	78
Handy.sugar	onecrayon/Handy.sugar	2405492	A handy collection of actions for keeping your fingers on your keyboard in the Espresso text editor for Mac	JavaScript	47	76	4	76
Writer-Tutorial	goldsborough/Writer-Tutorial	23565580	PyQt text editor tutorial repository	Python	616	74	44	74
WordPress-Editor-Android	wordpress-mobile/WordPress-Editor-Android	30292255	A reusable Android rich text editor component.	Java	3493	74	21	74
Codeita	heavy-cloud/Codeita	2240829	Web-based text editor and file management.	JavaScript	1115	74	31	74
php-debug	gwomacks/php-debug	34487796	Atom Text Editor package for PHP debugging	CoffeeScript	277	73	19	73
P2MSTextView	ptwoms/P2MSTextView	14865234	Rich Text Editor for IOS	Objective-C	509	72	12	72
Ted	xgouchet/Ted	3569844	Ted is a text editor for Android, written in java	Java	1267	72	46	72
HTML5.sugar	minimalweb/HTML5.sugar	936007	Adds HTML5 autocompletion to Espresso Text Editor	null	627	72	5	72
split-diff	mupchrch/split-diff	41949379	Side-by-side file compare for the Atom text editor.	CoffeeScript	6674	72	12	72
sam	deadpixi/sam	40034721	An updated version of the sam text editor.	C	894	71	7	71
web-quickeditor	googledrive/web-quickeditor	31785718	A sample text editor for the web browsers illustrating how to open and save files with the Google Drive API	JavaScript	348	70	38	70
rover-editor	kasparsd/rover-editor	5982023	Rover is a web based text editor with support for Markdown syntax highlighting and Dropbox storage	JavaScript	7720	70	7	70
Mediawiker	tosher/Mediawiker	6582157	Mediawiker is a plugin for Sublime Text editor that adds possibility to use it as Wiki Editor on Mediawiki based sites like Wikipedia and many other.	Python	1971	70	22	70
yugen	JacksonGariety/yugen	9861473	A collaborative text editor for minimalists.	JavaScript	120	68	12	68
line-control	suyati/line-control	17055755	A Light Weight HTML5 Text Editor designed as  a JQuery Plugin	JavaScript	587	67	54	67
e	the8thbit/e	11002066	the minimalistest text editor	C	23	66	2	66
MarkdownX	Ryeeeeee/MarkdownX	38496690	Markdown text editor for Android	null	15249	64	7	64
angular-editor	wanming/angular-editor	19276721	angular rich text editor with simditor(tower.im)	JavaScript	266	63	19	63
sky	evanw/sky	52170929	A text editor written in the Skew programming language	Objective-C++	534	63	0	63
tea-for-espresso	onecrayon/tea-for-espresso	135128	An Espresso Sugar containing Textmate-style Text Editor Actions	Python	3249	62	3	62
scratch	dkandalov/scratch	913306	IntelliJ plugin to quickly open temporary text editor	Java	2160	62	4	62
yui_editor	larsklevan/yui_editor	39506	Integrate the Yahoo Rich Text Editor (http://developer.yahoo.com/yui/editor/) into a Rails application.	Ruby	281	60	9	60
EncryptPad	evpo/EncryptPad	52200408	Minimalist secure text editor and binary encryptor that implements RFC 4880 Open PGP format: symmetrically encrypted, compressed and integrity protected. The editor can protect files with passwords, key files or both.	C++	7485	60	9	60
ngQuill	KillerCodeMonkey/ngQuill	26112684	Angular Directive for Quill rich text editor	JavaScript	101	58	38	58
casto	hikarock/casto	16981599	:zap: Live coding in browse, using text editor.	JavaScript	6747	58	2	58
Jota-Text-Editor-old	jiro-aqua/Jota-Text-Editor-old	1091258	Text editor for Android	Java	1694	57	27	57
react-markdown	leozdgao/react-markdown	36725212	text editor for markdown in react (不再维护)	JavaScript	411	56	16	56
rubyblue	jlong/rubyblue	341744	A collection of themes for different text editors that mimic the colors used in the code samples on ruby-lang.org	VimL	111	55	24	55
geany-on-rails	dejw/geany-on-rails	954771	Ruby on Rails bundle for Geany text editor.	null	141	54	18	54
Pandoc-Mac-OS-X-Services	mb21/Pandoc-Mac-OS-X-Services	11561394	Invoke pandoc from any text editor with the opened file as input	null	1525	54	4	54
canvas-text-editor	grassator/canvas-text-editor	3280878	Simple text editor using html5 canvas	JavaScript	189	53	17	53
docs-old	quilljs/docs-old	51192094	Homepage of Quill - The rich text editor with an API	CSS	2183	53	24	53
meteor-froala	froala/meteor-froala	27219865	A beautiful jQuery WYSIWYG HTML text editor. The editor is free for non-commercial projects. For commercial applications you have to purchase a license from 	JavaScript	1109	52	14	52
angular-typewrite	antoniocapelo/angular-typewrite	17118398	AngularJS directive that simulates the effect of typing on a text editor	ApacheConf	122	51	17	51
regex.sugar	ELLIOTTCABLE/regex.sugar	79292	‹ᴜɴᴍᴀɪɴᴛᴀɪɴᴇᴅ› A Regular Expression sugar for MacRabbit's Espresso text editor.	CSS	28	51	5	51
textlint	DamienCassou/textlint	2315467	[DEPRECATED] Allows to integrate TextLint (http://scg.unibe.ch/research/textlint) within various text editors	Emacs Lisp	33582	51	5	51
CodeFriends	code-friends/CodeFriends	28152187	Code Friends is a collaborative programming environment with real-time concurrent editing, and text/video chat. Collaborate with others remotely and see your changes sync instantly. Think of it as Google Docs for your sublime text editor.	JavaScript	9864	50	27	50
snucode	werg/snucode	3333649	A realtime collaborative text editor with syntax highlighting using websockets via the Socketstream (Node.js) library	JavaScript	325	50	1	50
draft-js-editor	AlastairTaft/draft-js-editor	52714003	A rich text editor built using draft js	JavaScript	111	49	2	49
HighlightTextEditor	evilbinary/HighlightTextEditor	42951715	An android HighlightTextEditor	C++	6984	48	19	48
Haxe-Studio	misterpah/Haxe-Studio	18398444	Text editor specially made for Haxe Programming Language. written in JS	JavaScript	11744	48	5	48
xo	scopatz/xo	17615971	exofrills text editor	Python	124	47	9	47
js-textmode-editor	sixteencolors/js-textmode-editor	2186991	A javascript and canvas based editor for drawing textmode based artwork (ansi, ascii, bin, xbin, adf, idf, tundra, avatar, pcboard) 	JavaScript	1140	45	6	45
920-text-editor-v2	jecelyin/920-text-editor-v2	56496110	920 Text Editor is a Free, Open Source and no Ad software for android	Java	14260	44	10	44
T	eaburns/T	27244055	The T text editor.	Go	973	44	3	44
ionic-atom	RokkinCat/ionic-atom	23137113	Preview your ionic apps in the atom text editor	CoffeeScript	246	44	9	44
punymce	spocke/punymce	286301	PunyMCE is a lightweight rich text editor written in javascript. It's designed to be used for things like comments and forums. 	JavaScript	3509	44	10	44
react-native-wordpress-editor	wix/react-native-wordpress-editor	60773470	React Native Wrapper for WordPress Rich Text Editor	Objective-C	156	43	5	43
redactor-plugins	johnsardine/redactor-plugins	6162639	Collection of plugins developed  for Redactor, a WYSIWYG rich-text editor made by @imperavi.	JavaScript	127	42	15	42
Hale	martincohen/Hale	44075645	Prototype turning into a text editor.	C++	1644	42	1	42
dit	hishamhm/dit	15683906	A console text editor for Unix systems that you already know how to use	C	1101	42	3	42
fairyfloss	sailorhg/fairyfloss	58701302	fairy floss text editor theme	CSS	447	41	13	41
rich-text-editor	goinstant/rich-text-editor	19614026	This repo will no longer be updated. GoInstant will be discontinued as of August 31, 2014. Read our blog for more details.	JavaScript	1231	40	6	40
vulcan	zesterer/vulcan	31142532	[FUNCTIONAL] A minimalistic text editor designed for both ordinary use and software development	Vala	475	40	2	40
mecha-cms	mecha-cms/mecha-cms	19169655	Mecha is a file-based CMS. It does not require any database. Almost all files are stored as plain text files which grouped into folders, which you can even edit it manually through a plain text editor application.	PHP	4121	40	10	40
juffed	Mezomish/juffed	3302027	JuffEd text editor	C++	9427	39	15	39
Textor	lutzroeder/Textor	1332934	Text Editor with syntax highlighting using HTML5 canvas.	JavaScript	6291	39	14	39
tepe	diki/tepe	14471555	TePe - Open source, browser-based text editor	JavaScript	2907	39	3	39
ScalaEdit	kjellwinblad/ScalaEdit	1341338	A text editor for Scala programmers	Scala	47364	39	1	39
python.sugar	mthjones/python.sugar	184405	A Sugar for the Espresso text-editor for development with Python	Python	107	39	1	39
code_autocomplete	JacquesLucke/code_autocomplete	27330859	Auto Completion in Blenders text editor.	Python	515	37	6	37
pluma	mate-desktop/pluma	2729606	A powerful text editor for MATE	C	11604	36	15	36
wysihtml5n	zohararad/wysihtml5n	4832443	wysihtml5 powered rich-text editor with drag & drop image editing	JavaScript	503	36	6	36
py-infinote	jvanveen/py-infinote	1183975	py-infinote is a python port of JInfinote, offering a collaborative text-editing protocol(adOPTed) which can be used to write multi-user collaborative text editors.	Python	447	36	8	36
wcteditor	garann/wcteditor	1148766	a simple text editor	JavaScript	242	35	3	35
Second-Climacs	robert-strandh/Second-Climacs	14065555	Version 2 of the Climacs text editor.	Common Lisp	318	35	10	35
atom-portable	garethflowers/atom-portable	41300465	Portable version of the Atom text editor, for Windows	HTML	608	34	6	34
evernote-editor	hpoydar/evernote-editor	8209105	Simple command line creation and editing of Evernote notes with Markdown and your favorite text editor	Ruby	287	34	5	34
laravel-editor	Vinelab/laravel-editor	28859032	Markdown Text Editor (WYSIWYG) with social network embeds support and a nifty json output	PHP	388	34	5	34
wed	rgburke/wed	51696246	wed is a terminal text editor with key bindings commonly used in Windows based editors	C	1315	33	0	33
notex-v1.0	hsk81/notex-v1.0	3376757	An online text editor for reStructuredText	Python	4412	32	3	32
ped	sloria/ped	42016292	:mans_shoe: Quickly open Python modules in your text editor	Python	30	32	2	32
MMD-Edit	fletcher/MMD-Edit	1995542	Syntax-highlighting text editor for MultiMarkdown, based on work by Ali Rantakari	Objective-C	591	32	3	32
RichTextEditor	SquaredTiki/RichTextEditor	7276412	A Rich Text Editor for iOS built using a UIWebView with a content-editable div	Objective-C	140	31	8	31
Sublime-JSLint	eduardolundgren/Sublime-JSLint	2140612	Sublime Text Editor 2 JSLint Support	JavaScript	108	31	4	31
slimtext.org	tylerlong/slimtext.org	8433487	Slim Text is a slim text editor which runs inside Chrome	CSS	29532	31	8	31
easy-write	adeekshith/easy-write	55324523	A web based text editor that encourages to write using only the top English words 	HTML	157	31	5	31
TipTyper	brunophilipe/TipTyper	29109811	Simple plain-text editor for OS X with multiple useful features.	Objective-C	3126	31	0	31
gray-matter	philipbelesky/gray-matter	2713206	A colour scheme for Sublime Text that takes design cues from popular minimalist Markdown text editors. Unlike many other colour schemes it properly highlights the basic Markdown syntax.	null	144	31	4	31
dotvim	airblade/dotvim	1054018	How I configure the one true text editor.	VimL	378	30	2	30
vim-pyref	xolox/vim-pyref	681257	A plug-in for the Vim text editor that provides context-sensitive documentation for Python source code.	VimL	1030	30	3	30
django-wysihtml5	danirus/django-wysihtml5	6585661	Simple Django app that provides a Wysihtml5 rich text editor textarea widget.	Python	496	29	18	29
CudaText	Alexey-T/CudaText	42943612	Cross-platform text editor, Lazarus	Python	12292	28	12	28
atom-svn	andischerer/atom-svn	36823512	SVN integration for atom text editor	CoffeeScript	61	28	10	28
quill-rails	the-robear/quill-rails	19993554	Rails 3/4 Asset Pipeline Loading for Quill.js Rich Text Editor	JavaScript	490	28	16	28
webkit-editor	rsms/webkit-editor	844034	Experimental text editor which runs in the browser	JavaScript	463	28	6	28
WP-Alchemy-Holy-Grail-Theme	helgatheviking/WP-Alchemy-Holy-Grail-Theme	3665800	A child theme of Twenty Fourteen that is meant to show repeatable, sortable, WYSIWYG (tinyMCE-enabled) text editors complete with media buttons for your WP Alchemy metaboxes. 	PHP	181	28	6	28
gollum_editor	samknight/gollum_editor	3636429	Gollum wiki text editor	JavaScript	254	27	3	27
KMSFroalaEditorBundle	froala/KMSFroalaEditorBundle	26242654	Symfony bundle for Froala WYSIWYG HTML Rich Text Editor.	HTML	2635	27	14	27
cryptote	bingmann/cryptote	6987751	CryptoTE - Text Editor with Transparent Cryptography	C++	7426	27	4	27
wcheck-mode	tlikonen/wcheck-mode	1928361	General-purpose text-checker interface for Emacs text editor	Emacs Lisp	305	27	2	27
xgherkin	sebastianbenz/xgherkin	2014263	A text editor for Cucumber's feature language gherkin build with Xtext.	Java	2989	27	1	27
CHRichTextEditor	cathandnya/CHRichTextEditor	4297963	Rich text editor on iOS.	Objective-C	233	26	4	26
SynWrite	Alexey-T/SynWrite	9482749	SynWrite text editor	Pascal	22850	26	7	26
sublime-installer	waldyr/sublime-installer	5420431	A Sublime Text Editor Installer made in shell script for the 2.0.1 version	Shell	128	26	237	26
planet.emacsen.org	hober/planet.emacsen.org	350843	Planet Emacsen: People living with the extensible, self-documenting text editor.	CSS	139	26	33	26
wysihtml5-rails	NARKOZ/wysihtml5-rails	4491646	A wysiwyg text editor for use in the Rails asset pipeline	Ruby	192	26	7	26
simple-edit	mlabod/simple-edit	2017827	simple html5 text editor with contenteditable="true" and execCommand	JavaScript	102	26	2	26
jQuery-TE	fattihkoca/jQuery-TE	4067498	jQuery Text Editor Plugin	null	426	25	28	25
MySignaturePlugin	eladyarkoni/MySignaturePlugin	5793085	Very lightweight plugin for sublime text editor	Python	254	25	11	25
symbol-gen	weskinner/symbol-gen	17272096	Generate tags file for a project in the atom text editor	CoffeeScript	411	25	16	25
9ne	robrohan/9ne	1293838	An online emacs like text editor	JavaScript	153	25	7	25
deadcode	jcd/deadcode	32267223	The Deadcode text editor	D	8982	25	2	25
tea-for-coda	onecrayon/tea-for-coda	135133	Coda plugin with useful HTML Text Editor Actions, written in Python	Python	200	25	10	25
yaml.sugar	grzegorzkazulak/yaml.sugar	167129	A YAML sugar for Espresso text editor	null	77	25	3	25
vim-voom.github.com	vim-voom/vim-voom.github.com	1521559	Website about VOoM, an outliner plugin for text editor Vim.	null	1749	25	3	25
ScriptableTextEditor	bignerdranch/ScriptableTextEditor	579520	A simple Cocoa text editor that demonstrates creating a plugin system in Python.	Objective-C	196	24	9	24
Qute	fbreuer/Qute	1688893	Qute Text Editor	Java	13534	24	8	24
nekobito	gaaamii/nekobito	25303996	A Markdown text editor which enables you to write more comfortably	JavaScript	990	24	2	24
editor	biakaveron/editor	307995	A simple library for working with various WYSIWYGs and other Text Editors. Current version already has drivers for CKeditor (FCKEditor v3.0), Tiny_MCE and MarkItUp.	PHP	252	24	7	24
WPF-RichText-Editor	AfterbuyAxel/WPF-RichText-Editor	9297934	WPF RichText Editor Control with conversion from and to HTML (XAML)	C#	3232	23	11	23
cross-browser-rich-text-editor	rothkj1022/cross-browser-rich-text-editor	8758421	The original cross-browser rich text editor, released the same day as Firebird 0.6.1 (Firefox) became available, the first non-IE browser to implement designMode() capability.	JavaScript	223	23	23	23
textile-editor	guillaumebort/textile-editor	480390	An HTML5 textile editor	JavaScript	117	23	4	23
OneFileCMS	rocktronica/OneFileCMS	3150928	A CMS (err, text editor and file manager) all in one file.	PHP	590	23	52	23
