index,group,language
gib-0.2,chat,c
hotpop3.0.0.1,email,c
jwsmtp-1.32.15,email,c
anyterm-1.0.1,terminal,c
cgterm-1.6,terminal,c
putty-0.60,terminal,c
tatelnet-1.1.1,terminal,c
exb-2.1.0-20020504,chat,java
OpenJMail_1.0.9,email,java
j2ssh-0.2.9-src,terminal,java
jalita-1.0,terminal,java
pircd-beta-one,chat,perl
Mercury-0.10,email,perl
Web2IRC,chat,php
emailer-2.3.1,email,php
squirrelmail-1.4.17,email,php
ajaxphpterm,terminal,php
phpterm-0.3.0,terminal,php
gcells-0.4,game,c
BubbleBreaker-src-0-1,game,java
deep_dungeons_1_5,game,php
npp.5.0.src,editor,c
nomic-1.3,game,php
Netrisk_2.0,game,php
ILKMail_V1.2,email,csharp
freedroid-1.0.2,game,c
fuzzy_adventure_0.5_source,game,c
AkelPad-3.6.4-src,editor,c
pdfedit-0.4.2,editor,c
DBEdit2.1.5_src,database,java
smallsql0.20_src,database,java
jedit42source,editor,java
rtext_0.9.9.7_Source,editor,java
VietPad-2.0-src,editor,java
SequelExplorer,database,perl
Kephra-0.4pl3-src,editor,perl
fortune,game,perl
phpMyAdmin-3.0.1.1-english,database,php
FCK2.6.3,editor,php
ontext-0.3,editor,php
SharpTTT_Source,game,csharp
cses-0.3-src,email,csharp
postgresql-8.3.0,database,c
